Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Age
regular unleaded,185.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Regular Cab Pickup,25,18,549,17490,5
regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,23,17,549,29145,5
regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,549,29125,5
regular unleaded,185.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Regular Cab Pickup,25,18,549,20455,5
regular unleaded,185.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,23,17,549,24435,5
regular unleaded,242.0,5.0,AUTOMATIC,four wheel drive,2.0,Compact,Regular Cab Pickup,23,17,549,25305,5
regular unleaded,185.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,23,17,549,26485,5
regular unleaded,242.0,5.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,17,549,26470,5
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27,20,549,29730,2
regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,27935,2
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,37250,2
regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,26,19,549,22650,2
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27,20,549,26595,2
regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,26,19,549,20995,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,26725,2
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27,20,549,25205,2
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27,20,549,31650,2
regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,33855,2
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,36950,2
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27,20,549,28535,2
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,34310,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,33420,2
regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,31145,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,30055,2
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,34010,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,34280,1
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,35020,1
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,38110,1
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,37810,1
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,24,17,549,35665,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,26,18,549,31540,1
regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,26,19,549,20955,1
regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,28595,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,27385,1
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27,20,549,29245,1
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,27,20,549,25865,1
regular unleaded,200.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,26,19,549,23310,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,30765,1
regular unleaded,200.0,4.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,25,19,549,31855,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,26,18,549,33460,1
regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,24,17,549,34720,1
regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,27,20,549,27305,1
regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Wagon,23,15,1385,2000,23
regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1385,2000,23
regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1385,2000,23
regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1385,2000,22
regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Wagon,23,15,1385,2000,22
regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Wagon,24,15,1385,2000,21
regular unleaded,200.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,24,16,1385,2000,21
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24155,4
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,29615,4
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,25770,4
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24940,4
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,25145,3
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24360,3
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,25975,3
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,29495,3
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,25985,2
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,29505,2
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,25155,2
flex-fuel (unleaded/E85),180.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,4dr SUV,28,20,1385,24370,2
regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,24,17,1851,18380,12
regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Cargo Minivan,24,17,1851,19835,12
regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,24,17,1851,22225,12
regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Cargo Minivan,24,17,1851,20130,11
regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,24,17,1851,18630,11
regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Passenger Minivan,24,17,1851,22520,11
regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,24,17,1851,22995,10
regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,4.0,Compact,Cargo Minivan,24,17,1851,20555,10
regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,24,17,1851,19055,10
premium unleaded (required),605.0,10.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,15,9,1715,440000,13
premium unleaded (required),605.0,10.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,15,9,1715,440000,12
premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,27,20,155,33065,1
premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,27,20,155,36065,1
premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,27,20,155,36065,0
premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,27,20,155,33065,0
premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Convertible,27,20,155,37065,0
regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,16,1624,2066,18
regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,16,1624,2103,17
regular unleaded,200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,23,16,1624,2241,17
premium unleaded (required),200.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,16,1624,31305,16
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,1385,14230,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,1385,14030,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,1385,15730,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,1385,17030,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,1385,16830,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,1385,15530,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,17410,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,16105,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,14435,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,15905,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,14235,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,17610,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,10135,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,16290,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,14610,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,16090,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,17510,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,33,23,1385,17710,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,14410,12
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,23,1385,10325,12
premium unleaded (required),420.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,17,1715,74100,2
premium unleaded (required),520.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,113600,2
diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,29,20,1715,61700,2
premium unleaded (required),440.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,1715,95500,1
premium unleaded (required),420.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,17,1715,74800,1
premium unleaded (required),520.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,114700,1
premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,19,1715,58300,1
premium unleaded (required),570.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,157300,1
diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,29,20,1715,62300,1
premium unleaded (required),520.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,116500,0
premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,18,1715,59600,0
premium unleaded (required),440.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,23,16,1715,97200,0
premium unleaded (required),570.0,8.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,21,14,1715,159600,0
premium unleaded (required),420.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,24,17,1715,76200,0
premium unleaded (required),295.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,18,1715,58900,11
premium unleaded (required),275.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,20,1715,52600,3
premium unleaded (required),325.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,1715,63800,3
premium unleaded (required),325.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,1715,63800,2
premium unleaded (required),340.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,1715,75200,2
premium unleaded (required),275.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,20,1715,52600,2
premium unleaded (required),325.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,1715,64100,1
premium unleaded (required),340.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,1715,75200,1
premium unleaded (required),275.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,20,1715,52600,1
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,34275,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34095,2
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,32995,2
premium unleaded (recommended),280.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,Sedan,25,17,873,43575,2
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,32995,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,38085,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,35375,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,35375,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,38085,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34095,2
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,34275,2
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,32670,1
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,34655,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,35755,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,1
premium unleaded (recommended),280.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,Midsize,Sedan,25,17,873,44355,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34475,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34475,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,1
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,31570,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,32670,1
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,34655,1
premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,21,873,31570,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,35755,1
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,0
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,0
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34475,0
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,0
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,37820,0
premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Midsize,Sedan,31,22,873,34475,0
regular unleaded,135.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,27,17,1385,2000,27
regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,29,20,1385,2000,27
regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,33,25,2031,18140,14
premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,29,20,2031,22005,14
premium unleaded (required),180.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,27,20,2031,22705,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,23,2031,17340,14
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,23,2031,19535,13
premium unleaded (required),180.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,28,22,2031,22935,13
premium unleaded (required),180.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,28,22,2031,24810,13
premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,21,2031,22235,13
regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,33,25,2031,18370,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,23,2031,17570,13
regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,33,25,2031,20335,13
premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,21,2031,24110,13
regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,23,2031,17670,12
premium unleaded (required),180.0,4.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,30,21,2031,22335,12
premium unleaded (required),180.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,28,22,2031,23035,12
regular unleaded,140.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,2dr Hatchback,33,25,2031,18470,12
regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,26,18,155,21235,14
regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,18,155,21815,13
regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,18,155,22040,12
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,31995,2
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,42595,2
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,35795,2
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,37995,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,29995,2
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,38795,2
premium unleaded (recommended),707.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,22,13,1851,58295,2
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,45695,2
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,34995,2
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,26995,2
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,31995,1
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,49195,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,29995,1
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,37995,1
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,34995,1
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,38995,1
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,26995,1
premium unleaded (recommended),707.0,8.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,21,13,1851,65945,1
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,42795,1
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,35995,1
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,35890,0
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,37995,0
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,49195,0
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,36890,0
premium unleaded (recommended),707.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,21,13,1851,62495,0
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,32890,0
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,26995,0
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,39890,0
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,42795,0
regular unleaded,305.0,6.0,AUTOMATIC,rear wheel drive,2.0,Large,Coupe,30,19,1851,29995,0
premium unleaded (recommended),485.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,14,1851,43995,0
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,37390,0
regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,Large,Coupe,23,15,1851,40140,0
premium unleaded (recommended),485.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,15,1851,47995,2
premium unleaded (recommended),485.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,15,1851,39995,2
premium unleaded (recommended),707.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,13,1851,62295,2
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,33595,2
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1851,27995,2
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,36595,2
regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1851,32995,2
regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1851,30995,2
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1851,29995,2
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1851,27995,1
premium unleaded (recommended),707.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,13,1851,65945,1
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1851,29995,1
premium unleaded (recommended),485.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,15,1851,39995,1
premium unleaded (recommended),485.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,15,1851,50995,1
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,36895,1
regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,31,19,1851,31995,1
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,33895,1
regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,31,19,1851,30245,1
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1851,27995,0
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,34790,0
premium unleaded (recommended),485.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,15,1851,51145,0
premium unleaded (recommended),707.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,22,13,1851,65945,0
regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1851,30245,0
regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1851,29995,0
regular unleaded,370.0,8.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,25,16,1851,39890,0
